route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12,12-02 (WD),[@2511.0.30592955@][2][1690469555108]/68__12-02_(WD),Farmingdale State College via Wyandanch,0,12-02 (WD),[@2511.0.30592955@]2
12,12-02 (WD),[@2511.0.30592955@][4][1690469250533]/10__12-02_(WD),Bay Shore via Wyandanch,1,12-02 (WD),[@2511.0.30592955@]1
12,12-02 (WD),[@2511.0.30592955@][2][1690469555108]/72__12-02_(WD),Farmingdale State College via Wyandanch,0,12-02 (WD),[@2511.0.30592955@]2
12,12-02 (WD),[@2511.0.30592955@][4][1690469250533]/14__12-02_(WD),Bay Shore via Wyandanch,1,12-02 (WD),[@2511.0.30592955@]1
12,12-02 (WD),[@2511.0.30592955@][2][1690469555108]/76__12-02_(WD),Farmingdale State College via Wyandanch,0,12-02 (WD),[@2511.0.30592955@]2
12,12-02 (WD),[@2511.0.30592955@][4][1690469250533]/18__12-02_(WD),Bay Shore via Wyandanch,1,12-02 (WD),[@2511.0.30592955@]1
12,12-02 (WD),[@2511.0.30592955@][2][1690469572237]/80__12-02_(WD),Farmingdale State College via Wyandanch,0,12-02 (WD),[@2511.0.30592955@]2
12,12-02 (WD),[@2511.0.30592955@][4][1690469266525]/22__12-02_(WD),Bay Shore via Wyandanch,1,12-02 (WD),[@2511.0.30592955@]1
12,12-02 (WD),[@2511.0.30592955@][2][1690469572237]/84__12-02_(WD),Farmingdale State College via Wyandanch,0,12-02 (WD),[@2511.0.30592955@]2
1,1-01 (SAT),[@2511.0.30460567@][1][1690313925886]/32__1-01_(SAT),Halesite Fire Department via NYS 110,1,1-01 (SAT),[@2511.0.30460567@]1
1,1-01 (SAT),[@2511.0.30460567@][3][1690314980280]/97__1-01_(SAT),Amityville Railroad via NYS 110,0,1-01 (SAT),[@2511.0.30460567@]2
1,1-01 (SAT),[@2511.0.30460567@][1][1690313925886]/35__1-01_(SAT),Halesite Fire Department via NYS 110,1,1-01 (SAT),[@2511.0.30460567@]1
1,1-01 (SAT),[@2511.0.30460567@][3][1690314980280]/100__1-01_(SAT),Amityville Railroad via NYS 110,0,1-01 (SAT),[@2511.0.30460567@]2
